hop_name,location,code,ptr_lat,ptr_lon,ptr_city
be-35411-arsc1.bisbee.tx.houston.comcast.net,bisbee|tx,,,,
ae1.cr1-lar2.ip4.gtt.net,lar,,,,
ae12.lr3-dal3.ip4.gtt.net,dal,US-TX,32.847099,-96.851799,Dallas
po203.asw02.cph2.tfbnw.net,cph,DK-84,55.617901,12.656,Copenhagen
po205.asw02.ber1.tfbnw.net,ber,DE-BR,52.351389,13.493889,Berlin
ae8.r21.fra03.ien.netarch.akamai.com,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae10.r21.fra03.mag.netarch.akamai.com,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae0.r26.fra02.ien.netarch.akamai.com,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
msw1ar.02.fra3.tfbnw.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae-1.meta.wrswpl02.pl.bb.gin.ntt.net,wrswpl|pl,,,,
po303.asw03.waw2.tfbnw.net,waw,PL-MZ,52.165699,20.9671,Warsaw
msw1aa.01.waw2.tfbnw.net,waw,PL-MZ,52.165699,20.9671,Warsaw
ae-2.meta.vienat02.at.bb.gin.ntt.net,vienat|at,,,,
ae-0.meta.londen17.uk.bb.gin.ntt.net,londen|uk,,,,
ae23-0.prg01-96cbe-1a.ntwk.msn.net,prg,CZ-PR,50.1008,14.26,Prague
ae25-0.ier04.fra31.ntwk.msn.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ce-1-2-2.a00.amstnl08.nl.ce.gin.ntt.net,amstnl|nl,,,,
0.peer-AS2914-1.PPR02.ASBNVAEG.ALTER.NET,asbnva,,,,
msw1ah.01.muc2.tfbnw.net,muc,DE-BY,48.137798,11.6903,Munich
ae3.r21.fra03.ien.netarch.akamai.com,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae2.decix-fra.netarch.akamai.com,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae-3.verizonbusiness.asbnva02.us.bb.gin.ntt.net,asbnva|us,,,,
ae2.dar01.fra05.networklayer.com,fra,,,,
po171.asw01.fra5.tfbnw.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae-0.tata-communications.mlanit02.it.bb.gin.ntt.net,mlanit|it,,,,
ae17.lr5-fra6.ip4.gtt.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
e49.mil-eqxml2-bb2.globalsecurelayer.com,mil,,,,
ae0.pr03.mxp1.tfbnw.net,mxp,IT-25,45.6306,8.72811,Milan
po212.asw01.lis1.tfbnw.net,lis,PT-11,38.7813,-9.13592,Lisbon
ae10.pr06.fra4.tfbnw.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
msw1ai.01.fra3.tfbnw.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae4.pr03.fco1.tfbnw.net,fco,IT-62,41.800278,12.238889,Rome
po131.asw02.mxp1.tfbnw.net,mxp,IT-25,45.6306,8.72811,Milan
msw1ai.01.mxp1.tfbnw.net,mxp,IT-25,45.6306,8.72811,Milan
po131.asw03.mrs2.tfbnw.net,mrs,FR-PAC,43.439272,5.221424,Marseille
msw1av.01.mrs2.tfbnw.net,mrs,FR-PAC,43.439272,5.221424,Marseille
ae1011-0.icr01.lon24.ntwk.msn.net,lon,GB-ENG,51.4706,-0.461941,London
IPTRIPLEPLA.edge1.Milan1.Level3.net,milan,IT,45.46427,9.18951,Milan
ae1.r01.mil01.icn.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
ae154-1414.connect1.plxcon-fra1.netarch.akamai.com,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
psw01.fco2.tfbnw.net,fco,IT-62,41.800278,12.238889,Rome
msw1ae.01.fco2.tfbnw.net,fco,IT-62,41.800278,12.238889,Rome
msw1ap.01.mad2.tfbnw.net,mad,ES-M,40.471926,-3.56264,Madrid
AUTOMATTIC.edge1.Milan1.Level3.net,milan,IT,45.46427,9.18951,Milan
CONTINENT-8.edge1.Milan1.Level3.net,milan,IT,45.46427,9.18951,Milan
COLT-TECHNO.edge1.Milan1.Level3.net,milan,IT,45.46427,9.18951,Milan
ae-0.r26.frnkge13.de.bb.gin.ntt.net,frnkge|de,,,,
be3499.ccr41.ams03.atlas.cogentco.com,ams,NL-NH,52.308601,4.76389,Amsterdam
SOFTLAYER-T.ear3.Washington1.Level3.net,washington,US-DC,38.89511,-77.03637,Washington
vlan100.r05.tor106.mil01.fab.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
ae5.r02.mil02.ien.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
ae2.r01.mil02.icn.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
ae20-0.ier02.mil30.ntwk.msn.net,mil,IT-25,45.6306,8.72811,Milan
be3500.ccr42.ams03.atlas.cogentco.com,ams,NL-NH,52.308601,4.76389,Amsterdam
