#IATA	size	name	lat long	country_code	city	pop	heuristic	1	2	3
AGC	medium_airport	Allegheny County Airport	40.3544006348 -79.9301986694	US	Pittsburgh	305704 0 0 0 
AGF	medium_airport	Agen-La Garenne Airport	44.1747016907 0.5905560255	FR	Agen/La Garenne	34367 3 0 0 
AGH	medium_airport	Ängelholm-Helsingborg Airport	56.2961006165 12.8471002579	SE	Ängelholm	23240 0 0 0 
AGP	large_airport	Málaga Airport	36.6749000549 -4.4991102219	ES	Málaga	568305 0 0 0 
AGS	large_airport	Augusta Regional At Bush Field	33.3698997498 -81.9645004272	US	Augusta	43459 0 0 0 
AGT	medium_airport	Guarani International Airport	-25.4599990845 -54.8400001526	PY	Ciudad del Este	320782 0 0 0 
AGU	medium_airport	Jesus Teran International Airport	21.7056007385 -102.318000793	MX	Aguascalientes	658179 0 0 0 
AGV	medium_airport	Oswaldo Guevara Mujica Airport	9.5533752441 -69.2378692627	VE	Acarigua	143704 0 0 0 
AHB	medium_airport	Abha Regional Airport	18.2404003143 42.6566009521	SA	Abha	210886 0 0 0 
AHN	medium_airport	Athens Ben Epps Airport	33.948600769 -83.3263015747	US	Athens	116714 0 0 0 
AHO	medium_airport	Alghero / Fertilia Airport	40.6320991516 8.290769577	IT	Alghero	34261 0 0 0 
AHU	medium_airport	Cherif Al Idrissi Airport	35.1771011353 -3.8395199776	MA	Al Hoceima	395644 0 0 0 
AJA	medium_airport	Ajaccio-Napoléon Bonaparte Airport	41.9235992432 8.8029203415	FR	Ajaccio/Napoléon Bonaparte	54364 3 0 0 
AJL	medium_airport	Lengpui Airport	23.8405990601 92.6196975708	IN	Aizawl	265331 0 0 0 
AJN	medium_airport	Ouani Airport	-12.1316995621 44.4303016663	KM	Ouani	10179 0 0 0 
AJR	medium_airport	Arvidsjaur Airport	65.5903015137 19.2819004059	SE	Arvidsjaur	4644 0 0 0 
AJU	medium_airport	Santa Maria Airport	-10.984000206 -37.0703010559	BR	Aracaju	490175 0 0 0 
AJY	medium_airport	Mano Dayak International Airport	16.9659996033 8.0001096725	NE	Agadez	124324 0 0 0 
AKC	medium_airport	Akron Fulton International Airport	41.0374984741 -81.4669036865	US	Akron	199110 0 0 0 
AKL	large_airport	Auckland International Airport	-37.0080986023 174.792007446	NZ	Auckland	417910 0 0 0 
AKR	medium_airport	Akure Airport	7.2467398643 5.3010101318	NG	Akure	420594 0 0 0 
AKU	medium_airport	Aksu Airport	41.2625007629 80.2917022705	CN	Aksu	340020 0 0 0 
AKW	medium_airport	Aghajari Airport	30.7444000244 49.6772003174	IR	Aghajari	21785 0 0 0 
AKY	medium_airport	Sittwe Airport	20.1326999664 92.8725967407	MM	Sittwe	177743 0 0 0 
ALA	large_airport	Almaty Airport	43.3521003723 77.0404968262	KZ	Almaty	2000900 0 0 0 
ALB	medium_airport	Albany International Airport	42.748298645 -73.8016967773	US	Albany	97856 0 0 0 
ALC	large_airport	Alicante International Airport	38.2821998596 -0.5581560135	ES	Alicante	334757 0 0 0 
ALF	medium_airport	Alta Airport	69.9760971069 23.3717002869	NO	Alta	12077 0 0 0 
